Genesis block
1;Block 1 Data;2460681;2018-04-25 21:10:49.544773;-1;0000080915555d7166845ce7c75bce7ea3bdf9d21b089a07db71c24c66947ac7
2;1;-1;2018-04-25 21:10:49.576029;0000080915555d7166845ce7c75bce7ea3bdf9d21b089a07db71c24c66947ac7;abf0a93fd1c2863235b5bf11ee4795b8c033d96a3d0e0cbc6c1540d2e911a797
3;70489;-1;2018-04-25 21:10:49.625486;abf0a93fd1c2863235b5bf11ee4795b8c033d96a3d0e0cbc6c1540d2e911a797;0c97af4000ec0c20e427c0658e71451048064fc5b27cab3aff2d7e587d559004
4;16965;-1;2018-04-25 21:10:49.658856;0c97af4000ec0c20e427c0658e71451048064fc5b27cab3aff2d7e587d559004;ebdfb24e93276a3642c7729199228840121765197fa91b220950cc7c67dd21e0
5;75937;-1;2018-04-25 21:10:49.683151;ebdfb24e93276a3642c7729199228840121765197fa91b220950cc7c67dd21e0;c2c843b0204e00195759dde3e7e260b99318fc0b0b58221ce709342bc9155768
6;62481;-1;2018-04-25 21:10:49.704257;c2c843b0204e00195759dde3e7e260b99318fc0b0b58221ce709342bc9155768;05d56ad3bf38ff895b08146f90b8d9f1b898c8e6b8e9e336ce5628ca287073ac
7;25986;-1;2018-04-25 21:10:49.726032;05d56ad3bf38ff895b08146f90b8d9f1b898c8e6b8e9e336ce5628ca287073ac;529d933f47c0e0998136979ba71df2efad3a4b3d1acbd95d120d00438a063dc0
8;83509;-1;2018-04-25 21:10:49.750209;529d933f47c0e0998136979ba71df2efad3a4b3d1acbd95d120d00438a063dc0;f6b20bca3093a84ea59937ad5f7c7188951a6773db294f35d0ff41d682752817
9;82692;-1;2018-04-25 21:10:49.774352;f6b20bca3093a84ea59937ad5f7c7188951a6773db294f35d0ff41d682752817;282e45d955290ad3719e64c1bcfdea266ff7305267a039abe1455433673ca856
10;66282;-1;2018-04-25 21:10:49.797921;282e45d955290ad3719e64c1bcfdea266ff7305267a039abe1455433673ca856;0af577c4e68628e7e47b9ea48e69bd642d67ea93f69601b4be3fb633d90d67b3
11;92522;-1;2018-04-25 21:10:49.822573;0af577c4e68628e7e47b9ea48e69bd642d67ea93f69601b4be3fb633d90d67b3;ad11ca04eef19d68b19f3130d21a83c42ed3e0534a74aa119789761850445f6c
12;51900;-1;2018-04-25 21:10:49.847978;ad11ca04eef19d68b19f3130d21a83c42ed3e0534a74aa119789761850445f6c;bc34a46227825d8473d3c05039d155b96d24b46ba407288c3ebc8ab12e506048
13;54056;-1;2018-04-25 21:10:49.873927;bc34a46227825d8473d3c05039d155b96d24b46ba407288c3ebc8ab12e506048;851153b5b903124996a0c56522c239a75d6c2fb270f99c65cb1a688b9dbe4a17
14;55539;-1;2018-04-25 21:10:49.894899;851153b5b903124996a0c56522c239a75d6c2fb270f99c65cb1a688b9dbe4a17;c153aa0e007eb699e7a56a1328c3fbdb1cbac309da494c018e25cf980e022070
15;32992;-1;2018-04-25 21:10:49.915913;c153aa0e007eb699e7a56a1328c3fbdb1cbac309da494c018e25cf980e022070;b9b5d8e65309f04bc9ea113a916eef6d44144349ccd613d04fe5a49e6304350d
16;51438;-1;2018-04-25 21:10:49.938202;b9b5d8e65309f04bc9ea113a916eef6d44144349ccd613d04fe5a49e6304350d;83eae184fafa01725dbf0cbf0bb069cdbce95867fc09d9ae1b3aa092b425193a
17;6539;-1;2018-04-25 21:10:49.965617;83eae184fafa01725dbf0cbf0bb069cdbce95867fc09d9ae1b3aa092b425193a;fd4d58412b0fb4f644529bd372222f9454de252cbb2b8ef222047cb8ea954e4a
